,neighborhood,rooms,Monthly_rent_Idealista_EUR,Number_flats_IDEALISTA,Avg_Price_Night_Airbnb,Number_flats_AIRBNB,availability_30,Estimated_income_Airbnb_EUR,Holyday_rental_premium_pct
8,Acacias,1,825.0,6.0,63.906,21.0,7.57142857143,1433.32028571,73.7357922078
9,Acacias,2,1012.5,4.0,83.61035,18.0,8.66666666667,1783.68746667,76.1666633745
12,Adelfas,1,975.0,5.0,69.2315,10.0,11.8,1260.0133,29.2321333333
13,Adelfas,2,1200.0,11.0,83.0778,9.0,9.11111111111,1735.40293333,44.6169111111
20,Almagro,0,900.0,2.0,69.2315,9.0,10.0,1384.63,53.8477777778
21,Almagro,1,1200.0,10.0,80.9476,34.0,8.91176470588,1707.04203529,42.2535029412
22,Almagro,2,2350.0,27.0,106.51,21.0,9.80952380952,2150.48761905,-8.48988855117
23,Almagro,3,2475.0,16.0,176.8066,5.0,12.0,3182.5188,28.5866181818
26,Almendrales,0,660.0,7.0,34.0832,5.0,7.0,783.9136,18.7747878788
36,Arapiles,0,650.0,3.0,53.255,22.0,8.22727272727,1159.50659091,78.3856293706
37,Arapiles,1,950.0,19.0,62.8409,27.0,8.74074074074,1335.95098519,40.6264194932
38,Arapiles,2,1380.0,21.0,95.859,12.0,10.75,1845.28575,33.7163586957
39,Arapiles,3,1500.0,8.0,154.4395,5.0,7.4,3490.3327,132.688846667
43,Aravaca,2,1175.0,2.0,76.6872,5.0,13.6,1257.67008,7.03575148936
49,Argüelles,0,1050.0,7.0,63.906,12.0,9.66666666667,1299.422,23.7544761905
50,Argüelles,1,1100.0,23.0,79.8825,44.0,8.79545454545,1693.87210227,53.9883729339
51,Argüelles,2,1200.0,38.0,99.0543,37.0,8.94594594595,2085.49458649,73.7912155405
52,Argüelles,3,1735.0,8.0,164.0254,10.0,11.9,2968.85974,71.1158351585
62,Bellas Vistas,1,800.0,17.0,53.255,11.0,10.1818181818,1055.41727273,31.9271590909
63,Bellas Vistas,2,865.0,1.0,62.30835,14.0,8.35714285714,1348.53071786,55.8995049546
67,Hispanoamérica,1,1090.0,19.0,77.7523,18.0,11.2222222222,1460.01541111,33.9463679918
68,Hispanoamérica,2,1380.0,23.0,100.1194,14.0,8.28571428571,2174.02125714,57.5377722567
69,Hispanoamérica,3,1800.0,11.0,143.7885,5.0,11.4,2674.4661,48.58145
72,Berruguete,1,750.0,14.0,53.255,13.0,11.6153846154,979.072692308,30.543025641
73,Berruguete,2,1100.0,14.0,59.6456,7.0,7.71428571429,1329.2448,20.8404363636
81,Campamento,3,799.0,3.0,48.9946,7.0,10.5714285714,951.895085714,19.1358054711
94,Casa de Campo,1,1050.0,1.0,64.9711,10.0,8.1,1422.86709,35.5111514286
95,Casa de Campo,2,1337.5,2.0,98.52175,8.0,10.5,1921.174125,43.6391869159
96,Casa de Campo,3,1250.0,4.0,101.1845,5.0,9.6,2064.1638,65.133104
105,Casco Histórico de Vallecas,1,600.0,1.0,52.1899,8.0,14.625,802.4197125,33.73661875
106,Casco Histórico de Vallecas,2,600.0,1.0,106.51,5.0,17.2,1363.328,127.221333333
110,Castellana,1,1300.0,19.0,82.54525,18.0,9.16666666667,1719.69270833,32.2840544872
111,Castellana,2,2250.0,54.0,149.114,17.0,10.5294117647,2903.33729412,29.0372130719
112,Castellana,3,5900.0,14.0,192.7831,8.0,11.75,3518.291575,-40.3679394068
118,Castilla,1,1000.0,35.0,63.906,9.0,13.8888888889,1029.59666667,2.95966666667
119,Castilla,2,1075.0,8.0,69.2315,5.0,10.8,1329.2448,23.6506790698
123,Chopera,1,950.0,1.0,53.255,11.0,10.1818181818,1055.41727273,11.0965550239
124,Chopera,2,1100.0,2.0,53.255,14.0,8.21428571429,1160.19821429,5.47256493506
127,Justicia,0,850.0,17.0,58.5805,67.0,8.41791044776,1264.28959701,48.73995259
128,Justicia,1,1350.0,32.0,74.557,224.0,8.67857142857,1589.66175,17.7527222222
129,Justicia,2,2650.0,18.0,106.51,109.0,10.6972477064,2055.93614679,-22.4175038948
130,Justicia,3,2725.0,10.0,159.765,25.0,10.32,3144.1752,15.3825761468
131,Justicia,4,4300.0,2.0,159.765,9.0,9.11111111111,3337.31333333,-22.3880620155
134,Ciudad Jardín,1,720.0,7.0,74.557,6.0,10.6666666667,1441.43533333,100.199351852
135,Ciudad Jardín,2,1250.0,19.0,106.51,5.0,12.6,1853.274,48.26192
136,Ciudad Jardín,3,1700.0,4.0,117.161,6.0,9.83333333333,2362.74683333,38.9851078431
149,Comillas,1,820.0,1.0,53.255,9.0,11.4444444444,988.176111111,20.5092818428
152,Concepción,1,930.0,7.0,59.6456,6.0,15.8333333333,844.979333333,-9.14200716846
153,Concepción,2,820.0,2.0,63.906,7.0,5.85714285714,1542.87342857,88.1552961672
168,Cuatro Caminos,1,900.0,41.0,63.906,35.0,9.77142857143,1292.72708571,43.6363428571
169,Cuatro Caminos,2,1350.0,64.0,90.5335,17.0,9.76470588235,1831.972,35.7016296296
174,Castillejos,0,900.0,5.0,53.255,5.0,8.0,1171.61,30.1788888889
175,Castillejos,1,950.0,29.0,74.557,15.0,14.4,1163.0892,22.4304421053
176,Castillejos,2,1324.5,16.0,85.208,5.0,12.0,1533.744,15.7979614949
180,Delicias,1,1050.0,3.0,54.3201,17.0,8.29411764706,1179.0657,12.2919714286
181,Delicias,2,1100.0,7.0,73.4919,13.0,11.3846153846,1368.07998462,24.3709076923
182,Delicias,3,1450.0,15.0,96.9241,5.0,6.0,2326.1784,60.4260965517
191,El Viso,2,2200.0,13.0,94.7939,5.0,8.2,2066.50702,-6.06786272727
209,Fuente del Berro,1,850.0,7.0,68.69895,14.0,10.4285714286,1344.53659286,58.1807756303
210,Fuente del Berro,2,1200.0,20.0,106.51,7.0,17.8571428571,1293.33571429,7.77797619048
215,Gaztambide,1,1000.0,21.0,63.37345,24.0,8.08333333333,1388.93477917,38.8934779167
216,Gaztambide,2,1450.0,11.0,77.7523,6.0,10.1666666667,1542.08728333,6.35084712644
217,Gaztambide,3,1495.0,4.0,129.9422,6.0,8.5,2793.7573,86.8733979933
219,Goya,0,750.0,6.0,58.5805,6.0,8.33333333333,1269.24416667,69.2325555556
220,Goya,1,1000.0,35.0,84.67545,34.0,12.2647058824,1501.74401029,50.1744010294
221,Goya,2,2150.0,32.0,117.161,60.0,9.35,2419.37465,12.5290534884
222,Goya,3,2440.0,18.0,159.765,14.0,9.07142857143,3343.65321429,37.0349677986
226,Guindalera,0,685.0,12.0,58.5805,7.0,10.7142857143,1129.76678571,64.9294577685
227,Guindalera,1,925.0,14.0,65.50365,22.0,8.81818181818,1387.48640455,49.9985302211
228,Guindalera,2,1150.0,19.0,74.557,18.0,11.1666666667,1404.15683333,22.1005942029
229,Guindalera,3,1500.0,16.0,133.1375,12.0,9.91666666667,2673.84479167,78.2563194444
233,Cortes,0,1200.0,4.0,74.557,88.0,7.80681818182,1654.65705682,37.8880880682
234,Cortes,1,925.0,16.0,74.557,234.0,7.98290598291,1641.52847863,77.4625382305
235,Cortes,2,1600.0,14.0,106.51,115.0,6.72173913043,2479.36756522,54.9604728261
236,Cortes,3,2200.0,3.0,151.77675,28.0,9.0,3187.31175,44.8778068182
237,Cortes,4,2200.0,1.0,170.416,11.0,7.54545454545,3826.61381818,73.9369917355
239,Ibiza,1,1100.0,7.0,87.87075,22.0,9.13636363636,1833.303375,66.6639431818
240,Ibiza,2,1350.0,13.0,85.208,14.0,10.7857142857,1637.21085714,21.2748783069
241,Ibiza,3,2800.0,7.0,159.765,12.0,9.25,3315.12375,18.3972767857
244,Imperial,1,950.0,15.0,63.906,11.0,11.7272727273,1167.73690909,22.9196746411
245,Imperial,2,1100.0,9.0,64.9711,18.0,8.66666666667,1386.05013333,26.0045575758
246,Jerónimos,1,1200.0,3.0,71.3617,18.0,11.5,1320.19145,10.0159541667
247,Jerónimos,2,2150.0,4.0,111.8355,22.0,8.81818181818,2368.87922727,10.1804291755
250,Embajadores,0,900.0,15.0,53.255,137.0,6.52554744526,1250.1319708,38.9035523114
251,Embajadores,1,875.0,20.0,62.8409,546.0,7.45604395604,1416.68248736,61.9065699843
252,Embajadores,2,1250.0,19.0,85.208,213.0,6.92488262911,1966.18460094,57.2947680751
253,Embajadores,3,1675.0,14.0,130.47475,84.0,8.14285714286,2851.80525,70.2570298507
254,Embajadores,4,2500.0,1.0,197.0435,8.0,7.0,4532.0005,81.28002
255,Legazpi,1,875.0,5.0,67.1013,5.0,7.4,1516.48938,73.313072
256,Legazpi,2,1000.0,8.0,106.51,5.0,12.8,1831.972,83.1972
260,Lista,1,1000.0,8.0,68.1664,20.0,10.2,1349.69472,34.969472
261,Lista,2,1700.0,38.0,95.859,21.0,8.38095238095,2072.38028571,21.9047226891
262,Lista,3,2150.0,16.0,137.93045,6.0,12.5,2413.782875,12.2689709302
274,Universidad,0,950.0,23.0,58.5805,94.0,7.12765957447,1339.8731383,41.0392777156
275,Universidad,1,1100.0,32.0,70.2966,449.0,8.13363028953,1537.13144499,39.7392222717
276,Universidad,2,1425.0,38.0,95.859,202.0,8.20297029703,2089.4414703,46.6274715998
277,Universidad,3,1925.0,6.0,127.812,31.0,7.22580645161,2910.81522581,51.2111805614
284,Niño Jesús,2,1550.0,3.0,106.51,5.0,12.0,1917.18,23.6890322581
289,Nueva España,1,975.0,40.0,79.8825,15.0,10.6,1549.7205,58.9456923077
290,Nueva España,2,1700.0,9.0,117.161,8.0,19.5,1230.1905,-27.6358529412
294,Rios Rosas,1,950.0,19.0,66.0362,17.0,8.0,1452.7964,52.9259368421
295,Rios Rosas,2,1500.0,17.0,79.8825,19.0,10.6842105263,1542.99355263,2.86623684211
300,Numancia,1,640.0,7.0,53.255,11.0,8.0,1171.61,83.0640625
301,Numancia,2,800.0,3.0,65.50365,6.0,6.16666666667,1561.170325,95.146290625
302,Numancia,3,735.0,4.0,69.2315,5.0,12.6,1204.6281,63.8949795918
312,Pacífico,1,825.0,10.0,58.04795,18.0,10.1666666667,1151.28434167,39.5496171717
313,Pacífico,2,900.0,5.0,85.208,17.0,10.0,1704.16,89.3511111111
314,Pacífico,3,1400.0,6.0,112.36805,10.0,7.0,2584.46515,84.6046535714
316,Palacio,0,875.0,5.0,63.906,62.0,9.14516129032,1332.74932258,52.3142082949
317,Palacio,1,1145.0,30.0,72.4268,325.0,7.74769230769,1611.66343877,40.7566322069
318,Palacio,2,1500.0,26.0,106.51,181.0,7.96685082873,2346.75071823,56.4500478821
319,Palacio,3,2400.0,8.0,170.416,52.0,8.53846153846,3657.38953846,52.3912307692
320,Palacio,4,2450.0,2.0,170.416,17.0,9.29411764706,3528.61364706,44.0250468187
333,Palos de Moguer,0,750.0,1.0,52.1899,9.0,6.33333333333,1235.16096667,64.6881288889
334,Palos de Moguer,1,875.0,15.0,62.8409,40.0,8.825,1330.6560575,52.074978
335,Palos de Moguer,2,1200.0,6.0,79.8825,39.0,9.05128205128,1673.43596154,39.4529967949
336,Palos de Moguer,3,2175.0,4.0,121.4214,8.0,10.25,2398.07265,10.2562137931
355,Prosperidad,1,1050.0,9.0,77.21975,12.0,13.3333333333,1286.99583333,22.571031746
356,Prosperidad,2,1225.0,38.0,85.208,6.0,16.6666666667,1136.10666667,-7.25659863946
357,Prosperidad,3,1350.0,13.0,101.1845,7.0,7.85714285714,2240.51392857,65.963994709
363,Puerta Bonita,1,550.0,5.0,61.7758,5.0,11.8,1124.31956,104.421738182
373,Quintana,2,750.0,3.0,73.4919,5.0,6.8,1705.01208,127.334944
376,Recoletos,0,850.0,6.0,74.557,18.0,12.3888888889,1313.03161111,54.4743071895
377,Recoletos,1,1300.0,37.0,95.859,37.0,10.1891891892,1899.04451351,46.0803471933
378,Recoletos,2,2500.0,44.0,170.416,37.0,11.6486486486,3127.36389189,25.0945556757
379,Recoletos,3,2900.0,26.0,275.8609,13.0,10.3076923077,5432.33772308,87.3219904509
380,Recoletos,4,4000.0,28.0,498.4668,6.0,16.6666666667,6646.224,66.1556
383,Rejas,1,725.0,8.0,69.2315,7.0,20.4285714286,662.644357143,-8.60077832512
393,San Andrés,1,450.0,3.0,46.8644,6.0,4.33333333333,1202.85293333,167.300651852
399,San Diego,1,700.0,17.0,39.4087,14.0,8.71428571429,838.842328571,19.8346183673
400,San Diego,2,657.5,18.0,63.906,7.0,6.42857142857,1506.35571429,129.10353069
406,San Isidro,1,625.0,5.0,58.5805,10.0,10.7,1130.60365,80.896584
407,San Isidro,2,850.0,5.0,73.4919,10.0,9.9,1477.18719,73.7867282353
408,San Isidro,3,800.0,11.0,74.557,5.0,14.8,1133.2664,41.6583
419,Valdefuentes,1,975.0,15.0,64.9711,6.0,9.83333333333,1310.25051667,34.3846683761
420,Valdefuentes,1,810.0,2.0,64.9711,6.0,9.83333333333,1310.25051667,61.7593230453
431,Simancas,1,950.0,17.0,60.17815,10.0,10.1,1197.545185,26.0573878947
435,Sol,0,1100.0,2.0,73.4919,77.0,7.11688311688,1681.72373766,52.8839761511
436,Sol,1,1150.0,20.0,79.8825,284.0,7.74295774648,1777.94817782,54.6041893754
437,Sol,2,1650.0,8.0,117.161,199.0,7.75376884422,2606.39068844,57.9630720268
438,Sol,3,1700.0,6.0,181.067,50.0,7.74,4030.55142,137.09126
443,Trafalgar,0,750.0,6.0,44.7342,23.0,13.4347826087,741.031747826,-1.19576695652
444,Trafalgar,1,1100.0,10.0,74.02445,62.0,10.564516129,1438.70100403,30.7910003666
445,Trafalgar,2,1600.0,18.0,108.6402,55.0,13.0909090909,1837.00701818,14.8129386364
446,Trafalgar,3,1750.0,17.0,126.7469,25.0,9.4,2610.98614,49.199208
447,Trafalgar,4,1900.0,2.0,242.31025,6.0,9.16666666667,5048.13020833,165.691063596
448,Valdeacederas,1,750.0,17.0,53.255,10.0,13.0,905.335,20.7113333333
449,Valdeacederas,2,900.0,13.0,82.54525,6.0,18.0,990.543,10.0603333333
463,Vallehermoso,1,1100.0,9.0,63.906,13.0,20.0769230769,634.144153846,-42.3505314685
464,Vallehermoso,2,1600.0,9.0,138.463,7.0,15.7142857143,1978.04285714,23.6276785714
469,Ventas,1,700.0,4.0,52.1899,6.0,7.33333333333,1182.97106667,68.9958666667
470,Ventas,2,800.0,5.0,52.72245,10.0,10.9,1006.998795,25.874849375
472,Almenara,0,745.0,3.0,53.255,5.0,8.8,1129.006,51.5444295302
506,Atocha,1,0.0,0.0,57.5154,6.0,3.0,1552.9158,0.0
510,Bellas Vistas,0,0.0,0.0,34.0832,8.0,10.625,660.362,0.0
538,Embajadores,5,0.0,0.0,213.02,7.0,7.28571428571,4838.59714286,0.0
585,Puerta del Angel,1,0.0,0.0,53.255,19.0,7.42105263158,1202.44184211,0.0
586,Puerta del Angel,2,0.0,0.0,58.5805,20.0,7.85,1297.558075,0.0
590,Rios Rosas,0,0.0,0.0,63.906,6.0,4.5,1629.603,0.0
595,Sol,4,0.0,0.0,223.671,15.0,12.3333333333,3951.521,0.0
600,Universidad,4,0.0,0.0,191.718,10.0,6.4,4524.5448,0.0
